filename,author,gender,faction
11001058,Margot Kalinke,weiblich,26
11001062,Steffen Kampeter,männlich,-1
11001064,Dietmar Kansy,männlich,23
11001068,Irmgard Karwatzki,weiblich,-1
11001072,Linus Kather,männlich,25
11001073,Hans Katzer,männlich,20
11001074,Volker Kauder,männlich,23
11001091,Ignaz Kiechle,männlich,25
11001096,Kurt Georg Kiesinger,männlich,20
11001102,Klaus Kirschner,männlich,4
11001103,Victor Kirst,männlich,23
11001106,Peter Kittelmann,männlich,23
11001121,Detlef Kleinert,männlich,-1
11001122,Hubert Kleinert,männlich,13
11001134,Ulrich Klinkert,männlich,26
11001162,Fritz Rudolf Körper,männlich,23
11001165,Helmut Kohl,männlich,13
11001166,Rudolf Kohl,männlich,13
11001171,Heinrich L. Kolb,männlich,23
11001175,Walter Kolbow,männlich,23
11001180,Jürgen Koppelin,männlich,4
11001186,Hartmut Koschyk,männlich,25
11001195,Karl Krammig,männlich,13
11001202,Rudolf Kraus,männlich,-1
11001216,Herbert Kriedemann,männlich,23
11001240,Klaus Dieter Kühbacher,männlich,-1
11001252,Eckart Kuhlwein,männlich,26
11001261,Georg Kurlbaum,männlich,-1
11001266,Karl Hans Laermann,männlich,4
11001272,Otto Lambsdorff,männlich,25
11001274,Norbert Lammert,männlich,20
11001283,Erwin Lange,männlich,-1
11001293,Paul Laufs,männlich,26
11001294,Karl Josef Laumann,männlich,25
11001299,Georg Leber,männlich,26
11001301,Andrea Lederer,weiblich,20
11001304,Robert Lehr,männlich,4
11001309,Albert Leicht,männlich,20
11001322,Carl Otto Lenz,männlich,13
11001336,Sabine Leutheusser-Schnarrenberger,weiblich,7
11001351,Eduard Lintner,männlich,23
11001352,Helmut Lippelt,männlich,25
11001353,Klaus W. Lippold,männlich,25
11001367,Fritz Logemann,männlich,4
11001375,Alfred Loritz,männlich,20
11001378,Julius Louven,männlich,20
11001379,Ortwin Lowack,männlich,7
11001387,Paul Lücke,männlich,7
11001390,Wolfgang Lüder,männlich,-1
11001398,Michael Luther,männlich,-1
11001399,Egon Lutz,männlich,20
11001414,Werner Maihofer,männlich,20
11001424,Erwin Marschewski,männlich,20
11001431,Werner Marx,männlich,7
11001432,Ulrike Mascher,weiblich,13
11001434,Christoph Matschie,männlich,-1
11001436,Ingrid Matthäus-Maier,weiblich,23
11001439,Hans Matthöfer,männlich,4
11001467,Erich Mende,männlich,20
11001477,Hans Joachim Merkatz,männlich,-1
11001478,Angela Merkel,weiblich,23
11001494,Jürgen Meyer,männlich,20
11001501,Maria Michalk,weiblich,26
11001506,Herwart Miessner,männlich,4
11001512,Wolfgang Mischnick,männlich,13
11001520,Jürgen W. Möllemann,männlich,26
11001521,Alex Möller,männlich,-1
11001526,Karl Moersch,männlich,25
11001529,Karl Mommer,männlich,25
11001535,Siegmar Mosdorf,männlich,-1
11001542,Adolf Müller,männlich,7
11001561,Michael Müller,männlich,7
11001562,Oskar Müller,männlich,26
11001569,Ernst Müller-Hermann,männlich,25
11001570,Franz Müntefering,männlich,7
11001593,Bernd Neumann,männlich,-1
11001601,Christa Nickels,weiblich,4
11001609,Edith Niehuis,weiblich,-1
11001621,Claudia Nolte,weiblich,13
11001622,Günther Friedrich Nolting,männlich,20
11001645,Rolf Olderog,männlich,20
11001647,Alfred Ollesch,männlich,-1
11001666,Hans Joachim Otto,männlich,-1
11001676,Detlef Parr,männlich,-1
11001685,Peter Paziorek,männlich,-1
11001703,Anton Pfeifer,männlich,13
11001710,Friedbert Pflüger,männlich,20
11001715,Eckhart Pick,männlich,25
11001736,Gerd Poppe,männlich,20
11001739,Konrad Porzner,männlich,7
11001740,Joachim Poß,männlich,20
11001749,Victor Emanuel Preusker,männlich,-1
11001752,Albert Probst,männlich,4
11001772,Peter Ramsauer,männlich,4
11001786,Wilhelm Rawe,männlich,7
11001815,Bernhard Reismann,männlich,25
11001823,Heinz Renner,männlich,25
11001825,Hans Peter Repnik,männlich,13
11001843,Erich Riedl,männlich,4
11001849,Heinz Riesenhuber,männlich,7
11001860,Heinrich Georg Ritzel,männlich,7
11001870,Hannelore Rönsch,weiblich,-1
11001876,Helmut Rohde,männlich,23
11001881,Uwe Ronneburger,männlich,4
11001882,Klaus Rose,männlich,26
11001887,Kurt J. Rossmanith,männlich,-1
11001891,Wolfgang Roth,männlich,25
11001893,Christian Ruck,männlich,25
11001897,Volker Rühe,männlich,25
11001899,Jürgen Rüttgers,männlich,-1
11001909,Wolfgang Rutschke,männlich,25
11001912,Anton Sabel,männlich,26
11001930,Friedrich Schäfer,männlich,7
11001931,Harald B. Schäfer,männlich,-1
11001935,Fritz Schäffer,männlich,-1
11001938,Wolfgang Schäuble,männlich,25
11001939,Gudrun Schaich-Walch,weiblich,13
11001949,Walter Scheel,männlich,-1
11001952,Siegfried Scheffler,männlich,20
11001954,Ernst Schellenberg,männlich,20
11001955,Heinz Schemken,männlich,20
11001957,Christina Schenk,männlich,20
11001968,Karl Schiller,männlich,20
11001970,Otto Schily,männlich,20
11001993,Carlo Schmid,männlich,20
11001995,Bernd Schmidbauer,männlich,-1
11002003,Christian Schmidt,männlich,-1
11002006,Hansheinrich Schmidt,männlich,20
11002007,Helmut Schmidt,männlich,4
11002014,R. Martin Schmidt,männlich,7
11002016,Renate Schmidt,weiblich,7
11002019,Ulla Schmidt,weiblich,20
11002022,Wilhelm Schmidt,männlich,-1
11002033,Hermann Schmitt,männlich,20
11002038,Jürgen Schmude,männlich,4
11002040,Kurt Schmücker,männlich,-1
11002048,Oscar Schneider,männlich,20
11002053,Andreas Schockenhoff,männlich,20
11002061,Erwin Schoettle,männlich,-1
11002073,Ottmar Schreiner,männlich,-1
11002077,Gerhard Schröder,männlich,4
11002078,Gerhard Schröder,männlich,-1
11002099,Brigitte Traupe,weiblich,20
11002103,Fritz Rudolf Schultz,männlich,13
11002108,Werner Schulz,männlich,7
11002120,Irmgard Adam-Schwaetzer,weiblich,4
11002122,Ernst Schwanhold,männlich,20
11002123,Rolf Schwanitz,männlich,13
11002127,Werner Schwarz,männlich,-1
11002128,Christian Schwarz-Schilling,männlich,20
11002129,Elisabeth Schwarzhaupt,weiblich,4
11002137,Hans Christoph Seebohm,männlich,23
11002140,Horst Seehofer,männlich,-1
11002153,Ilja Seifert,männlich,7
11002156,Rudolf Seiters,männlich,4
11002165,Walter Seuffert,männlich,4
11002190,Hermann Otto Solms,männlich,20
11002191,Cornelie Sonntag-Wolgast,weiblich,23
11002196,Dietrich Sperling,männlich,26
11002202,Kurt Spitzmüller,männlich,4
11002205,Carl Dieter Spranger,männlich,26
11002208,Rudolf Sprung,männlich,7
11002212,Erwin Stahl,männlich,4
11002218,Heinz Starke,männlich,20
11002248,Ludwig Stiegler,männlich,20
11002252,Josef Stingl,männlich,20
11002259,Gerhard Stoltenberg,männlich,26
11002264,Anton Storch,männlich,23
11002269,Eckhard Stratmann,männlich,23
11002270,Franz Josef Strauß,männlich,20
11002272,Käte Strobel,weiblich,-1
11002273,Hans Christian Ströbele,männlich,-1
11002278,Peter Struck,männlich,-1
11002281,Richard Stücklen,männlich,-1
11002287,Rita Süssmuth,weiblich,13
11002315,Carl Ludwig Thiele,männlich,-1
11002318,Wolfgang Thierse,männlich,26
11002320,Dieter Thomae,männlich,25
11002335,Klaus Töpfer,männlich,26
11002353,Gunnar Uldall,männlich,13
11002354,Wolfgang Ullmann,männlich,-1
11002360,Hans Eberhard Urbaniak,männlich,7
11002368,Günter Verheugen,männlich,23
11002371,Roswitha Verhülsdonk,weiblich,-1
11002378,Friedrich Vogel,männlich,25
11002379,Hans Jochen Vogel,männlich,26
11002380,Rudolf Vogel,männlich,23
11002384,Wolfgang Vogt,männlich,25
11002388,Karsten D. Voigt,männlich,25
11002391,Antje Vollmer,weiblich,-1
11002393,Ludger Volmer,männlich,-1
11002396,Friedrich Voss,männlich,26
11002403,Horst Waffenschmidt,männlich,4
11002406,Hans Georg Wagner,männlich,4
11002412,Theodor Waigel,männlich,4
11002428,Jürgen Warnke,männlich,4
11002430,Gerd Wartenberg,männlich,4
11002444,Herbert Wehner,männlich,4
11002461,Konrad Weiß,männlich,-1
11002465,Gert Weisskirchen,männlich,7
11002468,Hans Wellhausen,männlich,20
11002477,Friedrich Wendig,männlich,26
11002479,Wolfgang Weng,männlich,23
11002489,Heinz Westphal,männlich,4
11002503,Heidemarie Wieczorek-Zeul,weiblich,7
11002506,Dieter Wiefelspütz,männlich,-1
11002525,Heinrich Windelen,männlich,26
11002531,Hans Jürgen Wischnewski,männlich,13
11002534,Matthias Wissmann,männlich,7
11002536,Hans With,männlich,20
11002545,Karl Wittrock,männlich,25
11002547,Manfred Wörner,männlich,25
11002557,Torsten Wolfgramm,männlich,25
11002558,Erich Wolfram,männlich,4
11002568,Thomas Wüppesahl,männlich,23
11002570,Franz Josef Wuermeling,männlich,23
